,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_Redemption_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,no_of_fund_sales_12M_10K,no_of_funds_Redemption_12M_10K,no_of_assetclass_sold_12M_1,no_of_assetclass_redeemed_12M_1,no_of_assetclass_sales_12M_10K,no_of_assetclass_Redemption_12M_10K,No_of_fund_curr,No_of_asset_curr,AUM,total_funded,aum_AC_EQUITY,aum_AC_FIXED_INCOME_MUNI,aum_AC_FIXED_INCOME_TAXABLE,aum_AC_TARGET,aum_P_CEF,aum_P_MF,aum_P_SMA,total_sales,new_sales,newly_funded
4072,0,0,0,0,0,0,0,0,0,0,0,0,3,2,18674.85,0,5616.15,0,13058.7,0,0,18674.85,0,0,0,0
4073,75,40,9,4,4,3,3,2,2,2,2,2,3,2,566263.66,2,546070.86,0,20192.8,0,0,566263.66,0,339597.67,348517.26,1
4074,2,4,0,0,1,3,0,0,1,3,0,0,2,2,83664.86,0,70020,0,13764.86,0,0,83664.86,0,13900,0,0
4075,54,25,2,1,2,3,1,1,2,2,1,1,5,2,164609.8,2,175843.53,23174.54,0,0,0,74936,89673.8,100155.54,239934.54,2
4076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32046,1
4077,115,83,4,1,2,2,2,1,2,2,2,1,2,2,339816.725,0,0,47997.08,310094.295,0,0,339816.725,0,337483.38,103870.56,0
4078,24,5,0,0,2,2,0,0,2,2,0,0,2,1,3480.766574,1,0,0,24310.49096,0,0,3195.735376,0,6793.767519,11265.23603,0
4079,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4080,61,10,3,1,10,7,2,1,3,2,1,1,6,2,2545.050412,8,50900.13078,0,11362.95822,1999.386708,0,0,94411.14128,339476.1091,48602.09391,3
4081,72,18,22,0,2,1,2,0,1,1,1,0,2,1,2084108.605,0,0,2084108.605,0,0,0,207997.935,1876110.67,808782.81,270596.055,3
4082,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15330,1
4083,3,0,0,0,1,0,0,0,1,0,0,0,1,1,10410.72,1,0,0,10410.72,0,0,10410.72,0,10410.72,0,0
4084,0,13,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,198.45,12840.1,0
4085,1,7,0,0,1,3,0,0,1,2,0,0,5,1,0,0,0,0,196940.625,0,196940.625,0,0,653.375,0,0
4086,64,6,38,2,7,3,5,1,3,2,3,1,7,3,1536137.925,3,363136.76,129624.115,1043377.05,0,0,1160437.825,375700.1,1743116.285,982114.628,1
4087,127,87,5,2,1,2,1,2,1,2,1,2,5,3,756957.415,0,386699.015,357945.9,12312.5,0,12312.5,526328.805,218316.11,302455.41,86675,0
4088,23,64,2,5,3,3,2,2,2,2,2,1,3,1,109067.3627,1,151690.4827,0,0,0,0,22793.57268,86273.79,96765.56583,169508.4,1
4089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204.07,0,1204.07,0,0,0,0,1204.07,0,0,0,0
4090,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15115.06625,0,15115.06625,0,0,0,0,0,15115.06625,0,0,0
4091,0,13,0,13,0,6,0,6,0,4,0,4,15,4,926458.089,0,113554.3395,311653.885,469368.444,0,1562791.345,0,0,0,0,0
4092,8,4,1,0,3,2,1,0,3,1,1,0,3,1,0,1,0,1666.98,24911.235,0,0,0,0,17884.365,64043.075,2
4093,2,27,0,2,1,4,0,2,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1200.46,239272.7685,1
4094,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596.16,1
4095,2,0,2,0,2,0,2,0,1,0,1,0,2,1,32590.705,2,0,32590.705,0,0,0,32590.705,0,40000,0,0
4096,17,25,2,7,2,7,1,4,2,2,1,2,4,3,2089697.13,0,138387.18,1949887.47,9809.31,0,0,2089697.13,0,856948.34,938927.69,9
4097,0,2,0,0,0,1,0,0,0,1,0,0,2,2,40585.2,0,0,0,15845,0,0,40585.2,0,0,2058.71,3
4098,1,0,1,0,1,0,1,0,1,0,1,0,1,1,39005.76,1,0,0,39005.76,0,0,39005.76,0,39005.76,460288.01,4
4099,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0
4100,0,0,0,0,0,0,0,0,0,0,0,0,2,2,171686.87,0,0,189439.24,10560.76,0,0,171686.87,0,0,0,0
4101,1,0,1,0,1,0,1,0,1,0,1,0,1,1,3354.01,1,0,26391.34,0,0,0,3354.01,0,25000,14332.5,0
4102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2578.09,1
4103,0,25,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4104,0,2,0,2,0,2,0,2,0,2,0,2,6,1,0,0,0,0,0,0,0,0,78143.46,0,45000,1
4105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,1
4106,0,8,0,0,0,1,0,0,0,1,0,0,1,1,0,0,11660.59,0,0,0,0,0,0,0,0,0
4107,4,1,2,1,1,1,1,1,1,1,1,1,1,1,50360.965,0,0,50360.965,0,0,0,50360.965,0,78851.635,60052,0
4108,1,3,1,3,1,1,1,1,1,1,1,1,1,1,42938.07,0,0,0,46808.64,0,0,42938.07,0,20000,0,0
4109,0,1,0,1,0,1,0,1,0,1,0,1,2,1,0,0,0,377657.18,0,0,0,0,559968.8,0,0,0
4110,58,27,15,0,8,7,5,0,4,3,1,0,11,3,1832081.245,4,3084.45,1713468.885,29274.41,0,0,1823204.575,8876.67,1456263.445,1283306.83,3
4111,2,5,2,2,1,1,1,1,1,1,1,1,6,3,1786954.74,0,369144.42,1515115.45,20696.49,0,167115.45,93553.75,1526285.54,52500,70476,0
4112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.38,0,0,0,0,0,0,0
4113,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,16419.95,16419.95,0,0,0,10800,1
4114,1,14,1,2,1,3,1,2,1,3,1,2,3,1,0,0,0,221673.22,0,0,0,0,0,437780,0,0
